wallet,balance,value_in,value_out
0x0e99bf9044b683fd2474ee5f4987d2e71e0428b1,3,3,0
0x4ef91cfe3bc07c0d82bdddf0d123f770b4cc3fa3,1,1,0
0x58029a1b3714eef93a08b146ed8e65300706af91,1,4,3
0x5c5f2d6b503ff195cb989cbcfe73d92858c491a9,200,200,0
0x8dde319619b32aa1412daf862968ee94c7b12569,1,1,0
0x902bd0dd989eaf1d2c974204b625e35adb8bc4e9,1,1,0
0x9926c366f076cf3faa655ebc7a58c2f20c0931b8,10,10,0
0x9f179f91bf567bdf3572b541053e9a361e0c4163,1,5,4
0xa04f4a4b7306cb72f30828834db01699362a4989,1,1,0
0xaa94d963bd7b6c8ddde07a4b4cf13e26c2650899,1169,1169,0
0xbe0bfc97888c3b9b2702e6286b534fa102c98abc,1,1,0
0xc1968ea99c02ddff501c7161de0ad0b453dc7482,2,2,0
0xc27ac7924ca8760a17bab7a81b8d6afdace71a13,1,1,0
0xdc66324065e070516d965ebf8679e0f4d529d7ed,1,2,1
0x04fb4042b113b85ecf34c16008f92f3d75378a00,1,1,0
0x0f4a23879f26f706f223ea3fbe572a5e1f9fa92a,1,1,0
0x4a85dc63e5140becb8a4c297cd50f2da3fa7444d,1,16,15
0x4aa6993eff298e18f08b4f8f3b58c32408523bcd,1,1,0
0x5e2bc5095808e1122d243d994a9901c0fc7ff4b2,1,1,0
0x751096b33dd45785ee202aa532e0e8e36f47b869,1,1,0
0x7d4e7c70477dd372db4b9aa63fffbd8c006d10d4,1,1,0
0x823cca638191e4799b7ca553bfacd604855469fe,2,2,0
0x8c8b5fc621af683e7a97ca956e4f1a32838b64fa,1,1,0
0x9d763beb2ed8691c3b248028602d32a052e2a49c,1,1,0
0xaa1d6169247dc28ac8f09b8c692b865aa423b06a,51,415,364
0xad2e45398d5b708a902ae7179fe24cb922e6a92f,2,2,0
0xae855b8c27837101a99f434ae5c7d2d3fc26abe7,3,3,0
0xd1ddc862bb1b57561ecf44761e9b245aa2c6e129,1,1,0
0xd418b832fa1323b0de802f7d755c8aadd0129927,1,1,0
0xfa2f77a3d4c432d97f018f60ee425692016ce0af,1,1,0
0xfbc3994e45a253e1e87d522203c3bad9f524d484,1,1,0
0xfd7b97967ed2f04c8d49d98ba65e9addf3039224,1,1,0
0x088e57347af582f1d27262240fefc9135205f249,1,1,0
0x13a272c90e94865e611ed7fab20704b6dfcfb266,1,1,0
0x15413ec073096c67f6d07f80cf28a42c1df0dcec,1,1,0
0x15a1fc62e6c0045dc7116ca5191feb3c55901743,1,1,0
0x3518d19985cc91a9b6085a65023729d06dbe476f,1,1,0
0x36425a179dae49057d35d1f23d221357d3c96e63,1,1,0
0x37c247a2c81005ee037d7b2491612ef74214b701,1,1,0
0x3af8dee03d8fcdd18509abfcdecb782dcde98665,1,1,0
0x5858d523dca58049f68bc5df579dc8444bc11743,1,1,0
0x5943ed39a0115508c225d0f1ab2fa3a6bf95bb2a,5,5,0
0x668a1274d794d2432e0c11201858be9335731913,1,1,0
0x8512bebeecbcf11bee291e771209f0ff624edb7f,1,1,0
0x858d9f093cd5e0c909df36188f4fb89ecad068bd,1,1,0
0xa6a07b7f78022467e9a90628b3a9cff8a129ad90,1,1,0
0xbd00889c181c983b369edf51e8e09b75f3f6aade,5,5,0
0xede6a80ab8b94c535f8b06277d7e4b6441030266,2,2,0
0xf14822f857d6c9644eeb1d7ad7e06ab89a5bd368,1,1,0
0xf598f7968352bfe985dbe53de65bbfa054cb0d61,1,1,0
0xf9e519278df5ff7eb4ed4625b5fa1776a213a479,1,1,0
0x05bcdda7036957379539b4d34debb11db7f3399d,1,1,0
0x1b8ce8447f87bf3862bf08f5608c07562d02132c,1,1,0
0x25c6cb15821925cdf4971c43575c4b4008ba7e4f,1,1,0
0x33e90a3ab186a50849050a6bcba4592e7792f69b,1,1,0
0x42d8fa522df2c483e8b693d8b05c04135fce7bf9,1,1,0
0x49c0eec321591acd6d73203f9ecffab71e955a60,1,1,0
0x5171dcfd09ac42f591f9bb90bc9a330cd0cc0d94,50,50,0
0x67eead269d2004a0f845dfe335a059c39c7c989f,1,1,0
0x754bf9ebd66da72169b5b0ad0dbf67a0a17e1079,1,1,0
0x8359ebe9d307579cf69c7e5662d39b2df5db587d,15,15,0
0x8888593c15563f94e40684112e3d36e1f5ef6262,1,7,6
0xaf64fa2fad976eeb07be41fb0606a1d7885ce49f,1,2,1
